Filter Difference X,Filter Difference Y
[-0.00031379],[0.00021039]
[3.73936862],[0.79027668]
[1.9943253],[0.39472062]
[-0.00147661],[0.00067343]
[-0.00044124],[-0.00057948]
[0.00053405],[-0.00091024]
[0.00085738],[-0.00082837]
[0.00319324],[-0.00130645]
[0.00591895],[-0.00276006]
[0.00742291],[-0.00325595]
[0.01076232],[-0.00465515]
[0.01547824],[-0.00736092]
[0.01850562],[-0.008572]
[0.02170473],[-0.0094223]
[0.02388523],[-0.01085047]
[0.02690079],[-0.01471154]
[0.02847343],[-0.01611151]
[0.03092986],[-0.01851132]
[0.03204203],[-0.02057126]
[0.0323923],[-0.022353]
[0.03436923],[-0.02798889]
[0.03536044],[-0.03112116]
[0.03568332],[-0.03408799]
[0.03738308],[-0.03975399]
[0.03730547],[-0.0451042]
[0.03533515],[-0.04545947]
[0.0306944],[-0.05623623]
[0.02765808],[-0.05734107]
[0.02485316],[-0.06122926]
[0.02099058],[-0.06170416]
[0.01696811],[-0.06690069]
[0.01229331],[-0.06979187]
[0.0078233],[-0.0683419]
[0.0009976],[-0.0710249]
[-0.00389093],[-0.07429077]
[-0.00971022],[-0.07691234]
[-0.01742021],[-0.07765064]
[-0.02499903],[-0.08087796]
[-0.03979772],[-0.07992084]
[-0.04374012],[-0.07958278]
[-0.04823035],[-0.0785008]
[-0.06223171],[-0.0735425]
[-0.07087721],[-0.073967]
[-0.07561808],[-0.07183392]
[-0.06080944],[-0.06974674]
[-0.07530556],[-0.06644528]
[-0.07821215],[-0.06553626]
[-0.0814612],[-0.06921261]
[-0.08363707],[-0.06815994]
[-0.08745308],[-0.06976318]
[-0.0836861],[-0.06370932]
[-0.08470009],[-0.06339636]
[-0.08779771],[-0.06613609]
[-0.08595967],[-0.06212465]
[-0.08841017],[-0.06389904]
[-0.09035908],[-0.06598513]
[-0.08944143],[-0.06355668]
[-0.09123209],[-0.06460128]
[-0.09083991],[-0.0611124]
[-0.09405322],[-0.06436044]
[-0.09080403],[-0.06260268]
[-0.088618],[-0.05833742]
[-0.09091717],[-0.06026337]
[-0.09165956],[-0.06138308]
[-0.09073043],[-0.05921309]
[-0.0892197],[-0.05975806]
[-0.09025522],[-0.05859574]
[-0.09012523],[-0.05640711]
[-0.09066396],[-0.05779384]
[-0.0914879],[-0.05791034]
[-0.08770176],[-0.0560961]
[-0.08659407],[-0.05429321]
[-0.08648115],[-0.05353754]
[-0.09340018],[-0.05664224]
[-0.08401968],[-0.050303]
[-0.08279552],[-0.04901484]
[-0.0809151],[-0.04706331]
[-0.07946812],[-0.04468058]
[-0.07724193],[-0.04218664]
[-0.07688393],[-0.03959422]
[-0.07489772],[-0.038701]
[-0.07385906],[-0.03695093]
[-0.07278129],[-0.03607323]
[-0.07050723],[-0.03480633]
[-0.06908243],[-0.03368778]
[-0.065619],[-0.0313945]
[-0.38007301],[-0.171603]
[-0.06050902],[-0.02549679]
[-0.05894177],[-0.02333952]
[-0.05621774],[-0.0216513]
[-0.05303141],[-0.01883228]
[-0.04931766],[-0.01638842]
[-0.04670566],[-0.01460446]
[-0.04427853],[-0.01236507]
[-0.03970654],[-0.00871737]
[-0.03707386],[-0.00446826]
[-0.03415256],[-0.00051575]
[-0.03310567],[0.003995]
[-0.03099492],[0.01167815]
[-0.02954394],[0.01695756]
[-0.02905567],[0.02355439]
[-0.02913851],[0.03169847]
[-0.03063002],[0.03958963]
[-0.03252844],[0.04843995]
[-0.03328115],[0.05445903]
[-0.03843212],[0.0640803]
[-0.04084868],[0.06950443]
[-0.04582916],[0.08089227]
[-0.05135343],[0.09297678]
[-0.0607298],[0.11198102]
[-0.07914973],[0.14229553]
[-0.09559273],[0.17351327]
[-0.1054726],[0.19615737]
[-0.11861471],[0.21897451]
[-0.12214883],[0.23481994]
[-0.13844862],[0.24301765]
[-0.143044],[0.24106868]
[-0.15123491],[0.23432164]
[-0.06872976],[0.2223131]
[-0.06747824],[0.21349193]
[-0.12338797],[0.2035602]
[-0.18012083],[0.28660064]
[-0.24224823],[0.37034946]
[-0.29687994],[0.45500605]
[-0.37364683],[0.5511733]
[-0.47840423],[0.6870687]
[-0.59236383],[0.81068812]
[-0.63020555],[0.84376322]
[-0.43232231],[0.55034675]
[-0.22730484],[0.27600227]
[-0.19306378],[0.22362569]
[-0.19664393],[0.22178589]
[-0.20707892],[0.22080724]
[-0.21865916],[0.22227916]
[-0.23176546],[0.22199807]
[-0.24278123],[0.22243511]
[-0.25252205],[0.22416012]
[-0.26277511],[0.22253797]
[-0.26962797],[0.21548391]
[-0.28682225],[0.22020879]
[-0.29084221],[0.2148075]
[-0.29567063],[0.20998182]
[-0.29439618],[0.20096728]
[-0.28896224],[0.18948123]
[-0.33234311],[0.21134789]
[-0.33544855],[0.20587866]
[-0.27412909],[0.16109647]
[-0.28212918],[0.15990674]
[-0.35165115],[0.1953009]
[-0.29031462],[0.1554007]
[-0.2905435],[0.14967953]
[-0.35953566],[0.18112011]
[-0.40834324],[0.19826328]
[-0.42382795],[0.19896157]
