Filter Difference X,Filter Difference Y
[-0.18241283],[0.14087161]
[-0.14337842],[0.12565312]
[-0.01464541],[0.05776529]
[-0.26016775],[0.20370873]
[-0.11642298],[0.15643643]
[-0.13609429],[0.16382414]
[-0.14514118],[0.16950822]
[-0.19672548],[0.21683647]
[-0.22697605],[0.25017]
[-0.14949571],[0.19371159]
[-0.16916654],[0.28492732]
[-0.08252428],[0.40490093]
[0.08860475],[0.35544431]
[0.17790703],[0.35323922]
[0.21669888],[0.40697041]
[0.24939799],[0.42167856]
[0.44788464],[0.48043278]
[0.1433494],[0.61802305]
[0.39345707],[0.553891]
[0.3479329],[0.52592334]
[0.45745702],[0.55606158]
[0.48319205],[0.59689594]
[0.55928071],[0.57777383]
[0.53096589],[0.60714271]
[0.70423591],[0.62958826]
[0.79512279],[0.65863456]
[0.6916047],[0.64749761]
[-1.39733212],[0.78291621]
[0.53087196],[0.58911705]
[0.2010078],[0.77984609]
[0.56367025],[0.64750182]
[0.73558821],[0.72870276]
[0.26178907],[0.85617002]
[0.99117983],[0.69425454]
[1.01033783],[0.66465026]
[0.93107891],[0.69187215]
[0.65438216],[0.78762764]
[0.86425485],[0.61589075]
[1.0766674],[0.67220814]
[0.59641555],[0.823506]
[0.75532955],[0.59619689]
[1.04025886],[0.68592674]
[0.60251517],[0.71195966]
[0.4205796],[0.73712639]
[0.46038212],[0.63237542]
[0.32834204],[0.70698204]
[-0.24865361],[0.98033313]
[0.20261071],[0.69581234]
[0.59725029],[1.7755959]
[-1.04879302],[1.94333363]
[0.39713636],[0.74989549]
[0.13063706],[0.96386769]
[0.18512848],[0.76364439]
[0.14031959],[0.80440975]
[0.05083327],[0.82795653]
[1.21507574],[1.99903784]
[-0.58569047],[1.40492779]
[-0.16200709],[1.08379459]
[-0.58538109],[1.36785852]
[-0.34807218],[1.25392712]
[-0.3876513],[1.0215408]
[-0.31367539],[0.75867294]
[-0.3495121],[0.68741853]
[-0.41814307],[0.75669644]
[-0.49303831],[0.76516444]
[-0.47122676],[0.66935321]
[-0.52848234],[0.78555101]
[-0.43123001],[0.78864445]
[-0.43231106],[0.98190742]
[-0.46449121],[1.19894493]
[-0.08170877],[1.09478789]
[-0.27171864],[1.1673371]
[0.00395489],[1.20798061]
[0.07182487],[1.24218094]
[0.13645722],[1.27811982]
[0.07577888],[1.36911879]
[0.1055163],[1.30516017]
[0.15253486],[1.40056571]
[0.13821162],[1.3574151]
[0.11647115],[1.50295001]
[0.72496769],[-0.79250993]
[3.91496792],[-0.69652934]
[0.69229508],[1.30372337]
[0.32530514],[1.31365596]
[0.15698147],[1.47947989]
[0.14754359],[1.36587672]
[0.287438],[1.40022688]
[0.1742453],[1.43136987]
[0.24142495],[1.05329725]
[0.38783845],[1.02046976]
[0.46071374],[0.80568012]
[0.15596167],[0.97982992]
[0.13827333],[0.29518562]
[0.41974567],[-0.35179044]
[0.75610131],[-0.80016275]
[0.37142183],[-0.41045936]
[0.48608269],[-0.35396718]
[0.92649363],[-0.86849853]
[0.817914],[-0.67813508]
[0.37609744],[-0.23103965]
[0.530665],[-0.45523966]
[0.94600119],[-0.92878007]
[0.87303471],[-0.78207999]
[0.96868253],[-0.8345319]
[0.89602665],[-0.70847427]
[1.22773272],[-1.19008307]
[0.43721904],[-0.14343236]
[0.74320133],[-0.83444244]
[0.98362014],[-0.97961358]
[0.9192627],[-0.71424809]
[0.7724027],[-0.61193438]
[0.64617487],[0.62490622]
[0.54898199],[0.66360574]
[-0.04047834],[1.16387152]
[0.33298823],[0.9857086]
[0.29356957],[1.22511602]
[0.52115739],[1.20022276]
[0.56478989],[1.25469581]
[0.53527333],[1.10684483]
