Filter Difference X,Filter Difference Y
[1.41694909e-05],[0.00288932]
[0.00017724],[0.00710955]
[0.00024402],[0.00971738]
[0.00024662],[0.01073923]
[0.00014777],[0.01125529]
[0.00011175],[0.011074]
[3.80468749e-05],[0.012427]
[-3.21659027e-05],[0.00681616]
[-0.00068954],[0.01882799]
[-0.00291638],[0.0356869]
[-0.00516576],[0.04129177]
[-0.01320105],[0.05229368]
[-0.02528706],[0.04186412]
[-0.04436151],[0.06761061]
[-0.10222384],[0.08381283]
[-0.05855389],[0.03804411]
[-0.07652185],[0.03041528]
[-0.07851837],[0.02779376]
[-0.08273332],[0.02481362]
[-0.13341305],[0.02578744]
[-0.04601693],[0.0086651]
[-0.13619357],[0.02487531]
[-0.04833079],[0.00830466]
[-0.15313343],[0.02544172]
[-0.26189005],[0.04260347]
[-0.11093755],[0.01797797]
[-0.1219388],[0.01982453]
[-0.11667154],[0.01907418]
[-0.14242459],[0.05330852]
[-0.09719881],[0.06436505]
[-0.09711861],[0.06970878]
[-0.08976655],[0.07093988]
[-0.0593925],[0.05116461]
[-0.08191469],[0.09972935]
[-0.05045638],[0.06852487]
[-0.06814635],[0.09998219]
[-0.04207382],[0.07082375]
[-0.03188962],[0.11531156]
[0.00190392],[0.07673893]
[0.00422072],[0.07797787]
[0.02129034],[0.16133452]
[0.04094232],[0.11254778]
[0.02841769],[0.07102536]
[0.03629416],[0.06836991]
[0.03938504],[0.06725473]
[0.04126395],[0.06878356]
[0.03884075],[0.06410796]
[0.06148684],[0.09906612]
[0.06698586],[0.1064789]
[0.0465758],[0.07365672]
[0.04718802],[0.0745273]
[0.08100253],[0.12804338]
[0.09032204],[0.14377111]
[0.09708495],[0.15595294]
[0.11484294],[0.19078904]
[0.1978674],[0.33042931]
[0.12613576],[0.18683619]
[0.07447666],[0.08333896]
[0.06868304],[0.07201464]
[0.06061363],[0.05405043]
[0.09090003],[0.06233853]
[-4.08562073e-14],[-6.78568313e-12]
[0.13117723],[0.07483266]
[0.07061741],[0.03300277]
[0.07414224],[0.01989465]
[0.07702574],[0.01030028]
[0.07457106],[-0.00022701]
[0.11567564],[-0.00965601]
[0.07218644],[-0.00898839]
[0.11005262],[-0.03031867]
[0.09444151],[-0.0651428]
[0.0173111],[-0.03267097]
[0.02962509],[-0.06936055]
[0.03872518],[-0.10021262]
[0.02494682],[-0.06593177]
[0.03949097],[-0.10651246]
[0.05319572],[-0.14348105]
[0.03726436],[-0.10006998]
[0.03731548],[-0.09976497]
[0.05209297],[-0.13299373]
[-7.36175565e-11],[-1.5208272e-08]
[0.12252126],[-0.30170975]
[0.10908413],[-0.26858]
[0.07043446],[-0.17355549]
[0.07575575],[-0.18724596]
[0.06635423],[-0.16404415]
[0.06606837],[-0.16344305]
[0.06469562],[-0.16010913]
[0.06788621],[-0.16810998]
[0.03353717],[-0.08465863]
[0.0905172],[-0.24326765]
[0.05831952],[-0.20554854]
[0.03177901],[-0.13045905]
[0.00700628],[-0.13628753]
[3.55271368e-15],[-1.77635684e-15]
[-0.02093071],[-0.08879273]
[-0.04397491],[-0.07893543]
[-0.02919272],[-0.04843878]
[-0.04909096],[-0.03237603]
[-0.04746998],[-0.02540715]
[-0.05644941],[-0.01789783]
[-0.08329045],[-0.01599006]
[-0.08679136],[-0.00820235]
[-0.0581627],[-0.00425713]
[-0.09016049],[-0.00616109]
[-0.10369675],[-0.00653348]
[-0.18800321],[-0.01163167]
[-0.14297403],[-0.00908255]
[-0.16834695],[-0.01167659]
