Filter Difference X,Filter Difference Y
[7.82224834e-05],[0.00645643]
[-0.16657018],[0.1298585]
[-0.11061877],[0.09250337]
[-0.0989981],[0.09012156]
[-0.13261755],[0.10687678]
[-0.06725526],[0.14607993]
[-0.35531714],[0.31970201]
[-0.23340751],[0.26218038]
[-0.23722646],[0.28500066]
[-0.11280887],[0.18138535]
[-0.17918577],[1.10215705]
[-0.00761831],[0.32998346]
[0.43371486],[0.2531713]
[0.38514955],[0.37789983]
[-1.59935252],[2.31494279]
[-3.631671],[2.00933844]
[0.69878812],[0.54264025]
[0.90290801],[0.60636457]
[0.85669493],[0.5534203]
[1.02102637],[0.55832623]
[0.65615715],[0.71838245]
[0.48558634],[0.70465631]
[0.94354406],[0.55166537]
[1.00711155],[0.5056614]
[0.95595547],[0.49039328]
[0.97154245],[0.61811406]
[0.85688678],[0.53581822]
[0.65076163],[0.61599666]
[0.93277838],[0.37691154]
[0.76954403],[0.43354705]
[-3.32164729],[1.93587186]
[0.66374607],[0.51831106]
[0.38608371],[1.15042749]
[0.57136379],[0.56189405]
[0.45952471],[0.57505653]
[0.33195698],[0.57864857]
[0.95425879],[0.53461987]
[0.47093382],[0.61946516]
[0.42896936],[0.7040708]
[0.62787222],[1.30368545]
[0.90891112],[0.6760154]
[0.30520633],[0.92636451]
[0.37403725],[0.95984591]
[0.33471502],[0.80574244]
[0.25980669],[0.97339576]
[0.21695861],[1.59984802]
[1.05309927],[3.21721371]
[0.9817046],[0.76778298]
[0.33833306],[0.98326617]
[0.49189812],[1.8319781]
[-0.22844844],[1.5720399]
[-0.43604375],[1.80142186]
[-0.5746021],[1.73225081]
[-0.57375581],[1.6809117]
[-0.06364342],[0.64903606]
[6.3666888],[5.57743928]
[-0.85214732],[1.74094076]
[-0.30924197],[0.85098336]
[-0.00209199],[0.40350497]
[0.19696669],[0.27077093]
[-0.04045989],[0.28380728]
[0.36283764],[0.11573331]
[4.09098075],[2.38783919]
[0.14112934],[2.2830502]
[0.42073788],[0.28071673]
[0.25001092],[0.36874803]
[6.94612865],[2.91889404]
[0.43363228],[0.53598925]
[0.59059366],[0.43874381]
[0.6168873],[0.45566151]
[0.81766513],[0.25857631]
[0.87011079],[0.25650078]
[1.06135222],[0.19034404]
[1.33207936],[-0.31632509]
[-0.31960864],[-1.18934826]
[4.17529198],[-2.23228551]
[1.09097662],[-0.37666833]
[1.33762441],[-0.48598281]
[1.46163019],[-0.37745489]
[1.38857436],[-0.84598811]
[0.97385809],[-0.72660013]
[0.61139434],[-0.40370246]
[0.89423107],[-0.77180254]
[1.05975932],[-0.82460951]
[0.39885732],[-0.36503584]
[1.09509446],[-0.88960376]
[0.64153961],[-0.52705712]
[1.16509421],[-1.09870338]
[0.84646307],[-0.65023502]
[1.38385457],[-1.18069757]
[1.04989122],[-0.74026866]
[1.78242819],[-2.08868725]
[1.23915773],[-1.20111241]
[1.77136471],[-1.052286]
[1.4435199],[-0.96831089]
[1.53999298],[-1.48888109]
