Filter Difference X,Filter Difference Y
[0.0083214],[0.07897841]
[0.02149702],[0.07511677]
[0.02529864],[0.06841447]
[0.02705797],[0.06537115]
[0.03103897],[0.05312805]
[0.03332679],[0.06211497]
[0.07279839],[0.02874779]
[0.09535441],[0.06289547]
[0.11164343],[0.00124297]
[0.1512393],[0.04357116]
[0.2204937],[0.04911199]
[0.24386458],[0.03043172]
[0.29170546],[0.04271678]
[0.38172327],[0.05297677]
[0.67287562],[0.2574696]
[0.73048971],[0.30376832]
[0.80297523],[0.34533111]
[-0.50558251],[1.01657925]
[0.8804398],[0.45163219]
[0.92314131],[0.52080384]
[1.01331538],[0.56131295]
[0.95964523],[0.56020877]
[1.01219301],[0.58697914]
[0.99925482],[0.61522884]
[0.98277699],[0.64070793]
[-0.46721203],[0.59657517]
[0.92609824],[0.652714]
[1.04243348],[0.72431743]
[1.03089219],[0.70355923]
[0.98305815],[0.71439352]
[1.01784297],[0.72823913]
[1.05116652],[0.74206575]
[1.07499293],[0.74947358]
[0.26113564],[0.63535192]
[1.14019168],[0.82000775]
[1.27167751],[0.90542154]
[1.37360144],[1.00994665]
[1.36987868],[1.01838951]
[1.13625857],[0.57627198]
[0.67270051],[0.27883965]
[0.64884669],[0.29155123]
[0.61228279],[0.23640855]
[-0.53491341],[0.6445774]
[0.40981213],[0.0991365]
[0.36907555],[0.33868146]
[0.18346716],[0.00975825]
[0.07095605],[0.00744995]
[-0.01718535],[0.05995578]
[-0.14644257],[-0.02851271]
[-0.19296186],[-0.03153901]
[-0.38792692],[1.19846932]
[0.45246525],[1.39354176]
[-0.36538282],[0.63140966]
[-0.47382902],[0.15062813]
[-0.4927983],[0.08679273]
[-0.49400537],[0.07369983]
[-0.52210672],[0.07188996]
[-0.50710109],[0.0875171]
[-0.59962958],[0.75999933]
[-0.59441426],[0.1799954]
[-0.67391431],[0.39019248]
[-0.62086303],[0.3592113]
[-0.57895817],[0.49623684]
[-0.87439119],[0.27654817]
[-0.6181886],[0.17592318]
[-0.69018538],[0.28240348]
[-0.61967589],[0.17588885]
[-0.87096056],[0.47122388]
[-0.73476851],[0.28760194]
[-1.05144248],[0.49475079]
[-0.78067988],[0.37657922]
[0.33796508],[0.34063227]
[-0.76038955],[0.53669002]
[-0.90411141],[0.66754492]
[-0.85331255],[0.65271501]
[-0.79497851],[0.73209004]
[-0.83601341],[0.75214325]
[-0.69907108],[0.82581056]
[0.54156113],[0.25588164]
[-0.26252015],[1.01493319]
[-0.20413254],[0.9683922]
[-0.21758471],[1.17089698]
[-0.28814789],[1.36729237]
[-0.29018529],[1.34361681]
[-0.25378211],[1.13278055]
[-0.21560401],[0.90331411]
[-0.16287203],[0.55934831]
[-0.02059748],[-0.43589106]
[-0.1033139],[0.11900519]
[0.27549228],[-0.61171154]
[-0.14112913],[0.22385656]
[-0.06588155],[0.04441018]
[-0.1603355],[0.49229091]
[-0.00722331],[-0.31035385]
[-0.03576588],[-0.19336606]
[0.28800128],[-0.7616936]
[-0.04243684],[0.27522279]
[0.06241539],[0.47313219]
[0.078288],[0.57818184]
[0.13844476],[0.46249933]
[0.24602055],[0.61003779]
[0.33427133],[0.4445071]
[0.36987011],[0.48541482]
[0.37576032],[0.43410705]
[0.42453359],[0.39998804]
[0.4696114],[0.43743164]
[0.54566391],[0.15339987]
[0.5851992],[0.26046921]
[0.77478045],[0.29261895]
[1.06537406],[0.16555648]
[0.80306036],[0.15899693]
