Filter Difference X,Filter Difference Y
[0.00010413],[0.00870411]
[-0.11244141],[0.09725696]
[-0.11045593],[0.10259044]
[-0.11670041],[0.10185362]
[-0.1405157],[0.1170937]
[-0.11365421],[0.10843834]
[-0.15070732],[0.11496547]
[-0.22530406],[0.16988424]
[-0.2176536],[0.14156347]
[-0.189671],[0.09650422]
[0.00548022],[0.82186428]
[0.06568889],[-0.04752972]
[0.00090629],[-0.0063594]
[-0.02934492],[0.05397609]
[0.04851479],[0.02704439]
[0.14500322],[-0.0052366]
[0.14781519],[0.03651496]
[0.32998725],[-0.02607743]
[0.39412043],[0.0450834]
[0.58873072],[0.01366252]
[-1.50588738],[1.1261386]
[0.26398487],[0.10931484]
[0.72037147],[-0.00296894]
[0.73767788],[0.05321915]
[-1.43157815],[0.52856353]
[0.53671482],[-0.12414686]
[1.00151771],[-0.06557564]
[1.14685663],[-0.09085647]
[1.23483248],[-0.12169623]
[1.00729912],[0.00772199]
[1.30081057],[-0.39624309]
[1.33923937],[-0.40121276]
[1.5205059],[-0.52603565]
[-1.15221692],[0.9695632]
[1.24012926],[-0.70336602]
[1.26449352],[-0.79586069]
[1.12408306],[-0.79917541]
[1.51906162],[-1.00166087]
[1.1864222],[-0.87993653]
[0.99688696],[-0.78147428]
[0.94875176],[-0.9725663]
[1.38234063],[-1.18325498]
[1.01944486],[-0.960042]
[0.74093845],[-0.72362314]
[0.72690437],[-0.98001815]
[0.81162954],[1.21176111]
[-1.97082591],[0.7233118]
[0.17553737],[-0.89907133]
[0.50646283],[-1.1419755]
[1.0406102],[-1.34844328]
[0.65254168],[-0.94478939]
[0.5541403],[-0.99965845]
[0.25752288],[-0.92701466]
[1.0651898],[-1.73088988]
[1.1506133],[-1.13044332]
[0.44857338],[-0.85902318]
[0.27067324],[-1.19906463]
[0.95351765],[-1.83896173]
[0.51729221],[-1.46386531]
[0.20961509],[-1.62747298]
[0.161875],[-1.67767893]
[0.1421732],[-1.74971115]
[0.15163543],[-1.73731897]
[0.12591611],[-1.47762809]
[0.00413074],[-1.62848407]
[1.84134792],[0.18823534]
[-1.22396409],[0.01034366]
[0.38254701],[-1.78146016]
[2.10639678],[-0.53465004]
[0.42299843],[-0.69963911]
[0.31614198],[-1.24395398]
[0.43924874],[-1.03392741]
[0.83464672],[-1.4033722]
[1.4560918],[-1.27894691]
[0.71560345],[-0.8245537]
[0.65056002],[-0.75772095]
[0.75513897],[-0.81764914]
[0.71760799],[-0.73805856]
[0.63998062],[-1.06733738]
[0.88177093],[-0.9552681]
[0.69213931],[-0.83722775]
[0.66299538],[-0.79279942]
[0.83161327],[-0.89062386]
[0.99300812],[-0.67601819]
[0.981753],[-0.60010446]
[1.40758494],[-3.12762649]
[0.6963533],[-0.67152251]
[1.65561415],[-0.75090646]
[1.14684075],[-0.42883964]
[0.84728699],[-0.19933485]
[0.99807328],[-0.25019557]
[0.98384535],[-0.08609797]
[0.98779708],[-0.15469428]
[0.69330678],[0.21003438]
