Filter Difference X,Filter Difference Y
[5.83470872e-05],[0.00557611]
[-0.12472121],[0.10565045]
[-0.10052065],[0.09233195]
[-0.10502347],[0.09530754]
[-0.12800109],[0.10747136]
[-0.1252305],[0.10485287]
[-0.13819677],[0.13082832]
[-0.13112454],[0.10480944]
[-0.14745623],[0.10890116]
[0.17273215],[0.07309103]
[-0.15937558],[0.23336896]
[0.10012618],[0.09635182]
[0.11125767],[0.08642257]
[-0.20051525],[0.3370234]
[-0.00279344],[0.06482609]
[4.67743342],[2.07385019]
[-0.61354492],[1.76074851]
[-0.33091943],[0.43992786]
[-0.13914162],[0.06498102]
[-0.00334776],[-0.00879641]
[-0.1170685],[-0.27996364]
[-0.11006358],[-0.42454285]
[-0.40017173],[-0.58860099]
[-0.19850968],[-0.76971788]
[-0.36997272],[-0.61694081]
[1.49376651],[-0.6347212]
[-0.54502877],[-0.71091915]
[-0.89530728],[-0.52092984]
[-0.70043993],[-0.60773198]
[-0.5408022],[-0.73002841]
[-0.71341673],[-0.77288603]
[-0.61240123],[-0.90670781]
[-0.66884496],[-0.82554393]
[-0.56721259],[-0.83718754]
[-0.65970192],[-0.94714605]
[-0.75194016],[1.19468527]
[-4.04765974],[0.73298068]
[-1.11867711],[-1.32786626]
[-0.70239601],[-1.54672021]
[2.42934014],[1.75173321]
[-2.0540122],[0.95146886]
[-1.86060999],[-0.70746668]
[-0.87101386],[-1.71018159]
[-1.26420073],[-1.45970106]
[1.38140516],[1.84832795]
[-1.94081147],[-1.20059004]
[-1.67784231],[-1.65622574]
[-1.41673776],[-1.52113051]
[-1.36110195],[-1.86696574]
[-1.83138076],[-1.5674473]
[-1.29890235],[-1.83703877]
[-1.37015665],[-1.73791953]
[-1.7159813],[-1.77257841]
[-1.56587669],[-1.7339117]
[-1.20391407],[-1.89367788]
[-1.37903372],[-1.83985368]
[-1.55281725],[-1.59257404]
[-4.08783588],[0.36626289]
[-2.67604115],[-1.32013016]
[-1.89728853],[-2.28400848]
[-1.94904798],[-2.11920806]
[-1.27119305],[-2.1068844]
[-1.81082994],[-2.32451707]
[-1.45559125],[-2.2583919]
[-1.38191647],[-2.80824638]
[-1.25040703],[-2.32312836]
[-1.42758574],[-2.26655805]
[-1.54704478],[-2.26431322]
[-1.66807601],[-2.48100666]
[-1.47275562],[-2.29730064]
[-1.68436215],[-2.26798094]
[-1.82375879],[-2.20748318]
[-1.58632715],[-2.84607696]
[-1.53483915],[-2.43228673]
[2.35080926],[-1.28160211]
[2.33933998],[-0.63243004]
[-1.88909134],[-1.47206018]
[-1.81645004],[-2.08565317]
[-1.51074047],[-2.31919427]
[-0.53078941],[-2.66682984]
[-1.28313616],[-2.38845347]
[-1.41587007],[-2.29448232]
[4.64268628],[-3.17900289]
[0.79332741],[0.56654444]
[-1.6154343],[-1.96394745]
[0.66628385],[-2.70971021]
[-1.16537929],[-2.33997748]
[-1.52486553],[-2.91495221]
[-0.29891989],[-3.04359792]
[0.88302209],[-3.31288453]
[-0.09346732],[-2.78593996]
[-1.42523508],[-3.18128169]
[-0.95360496],[-3.07438295]
[-0.9308218],[-2.84537849]
[-0.90898872],[-3.18225887]
[-0.83024006],[-2.72372096]
[-1.20490543],[-2.44048648]
[-1.0115864],[-3.24273786]
[-0.89189555],[-3.01672054]
[-1.1216478],[-2.9787347]
[-1.02455322],[-2.81342655]
[-1.49417526],[-3.14769085]
[4.0709869],[-1.35113712]
[5.79522869],[-2.22402801]
[1.42295933],[-0.17643479]
[-1.19598739],[-1.48564358]
[-1.20337965],[-2.0325341]
[-0.84821157],[-2.93316314]
