Filter Difference X,Filter Difference Y
[0.03250199],[0.05533721]
[0.08221004],[0.03574332]
[0.09706057],[0.00813555]
[0.10749311],[0.02445389]
[0.11847211],[0.00194646]
[0.13928276],[0.01138604]
[0.18541834],[0.16872001]
[0.24295512],[0.024854]
[0.27315761],[0.02944515]
[0.36831345],[0.04702]
[0.4098901],[0.05942045]
[0.39082077],[0.11041122]
[0.44965069],[0.40056837]
[0.58588016],[0.17200617]
[0.64098884],[0.19043526]
[0.77840999],[0.47650036]
[0.90705778],[0.44999084]
[0.94503285],[0.45757099]
[0.91374516],[0.46489082]
[0.95153479],[0.48550649]
[0.94839959],[0.57005959]
[0.92604173],[0.61265974]
[0.86914771],[0.61789336]
[0.99071129],[0.66781004]
[0.95817838],[0.68605477]
[0.98744213],[0.69149028]
[1.03501616],[0.69111232]
[-0.30227602],[0.34514462]
[0.76061959],[0.62547196]
[0.87524959],[0.66066888]
[0.9197769],[0.67983062]
[0.95783585],[0.68081412]
[0.04158814],[0.44339145]
[0.67685085],[0.29741878]
[0.57509154],[0.26150671]
[0.66789735],[0.26627005]
[0.66740736],[0.24008692]
[0.63901405],[0.21928125]
[-0.62228611],[0.6910872]
[0.50452534],[0.20655602]
[0.43367925],[0.10712535]
[0.243645],[0.03562056]
[-0.13099558],[0.03234132]
[-0.29511459],[0.08834365]
[-0.34816333],[0.02663094]
[-0.44940876],[0.0476688]
[-0.39694703],[0.18512953]
[-0.4694138],[0.09123458]
[-0.47345984],[0.06992673]
[-0.47997238],[0.07015124]
[-0.46934632],[0.12623845]
[-0.51154965],[0.08535555]
[-0.4839044],[0.06824133]
[-0.48712599],[0.07947178]
[-0.51040581],[0.07309043]
[0.57866329],[1.18832292]
[-0.39205239],[0.58360227]
[-0.44446747],[0.12225111]
[-0.44589441],[0.13604332]
[-0.42124632],[0.16698127]
[-0.36909437],[0.21226581]
[0.56060701],[1.18756921]
[-0.26495162],[0.34705227]
[-0.3818531],[0.26357414]
[-0.42594679],[0.17765209]
[-0.38133467],[0.55967989]
[-0.46679268],[0.24773141]
[-0.53690015],[0.2050577]
[-0.58937776],[0.21399504]
[-0.44182287],[0.4496349]
[-0.72451855],[0.30425173]
[-0.75597612],[0.33689159]
[-0.7588036],[0.47087296]
[-0.77754783],[0.52668628]
[-0.85467753],[0.5693481]
[-0.81809821],[0.62086604]
[-0.83358516],[0.64967105]
[-0.75594959],[0.68706064]
[-0.80643628],[0.74597694]
[-0.59134643],[0.90006593]
[-0.49422682],[0.92285007]
[-0.50467792],[1.07631704]
[-0.29072081],[0.93751858]
[-0.05272541],[0.08027735]
[-0.20711772],[1.02403773]
[-0.17840404],[0.98913374]
[-0.18840784],[1.00720357]
[-0.17884676],[0.90353844]
[-0.15150846],[0.78697401]
[-0.14168792],[0.77446495]
[-0.12109276],[0.3657217]
[-0.11545408],[0.58421031]
[-0.01417185],[-0.12169897]
[-0.14018108],[0.3356127]
[-0.0654619],[0.26728742]
[-0.09044399],[0.19394334]
[-0.09064946],[0.33108453]
[0.05409895],[0.35862489]
[0.09474732],[0.32753812]
[0.16054258],[0.32016797]
[0.43111526],[0.43521483]
[-0.01098424],[-1.11876211]
[0.45245953],[-0.01161981]
[0.55483394],[0.26460529]
[0.60417757],[0.29898377]
[0.63887636],[0.35020588]
[0.68153648],[0.2915088]
[0.71383068],[0.30621904]
