Time Step,Health Status,dm,dmdt
1711145864837993664,[1.],[0.],[0.]
1711145864839180580,[1.],[0.],[0.]
1711145864840114842,[1.],[0.],[0.]
1711145864840978247,[0.99999831],[0.00026027],[0.00026027]
1711145864905774243,[0.99999846],[0.00024839],[0.00024839]
1711145864907542964,[0.99999799],[0.00028362],[0.00028362]
1711145864908889611,[0.99999647],[0.00037558],[0.00037558]
1711145864911440262,[0.9999942],[0.00048174],[0.00048174]
1711145864914185388,[0.99999456],[0.00046641],[0.00046641]
1711145864917050751,[0.99999522],[0.00043743],[0.00043743]
1711145864919797773,[0.99999072],[0.0006094],[0.0006094]
1711145864921550994,[0.99999147],[0.00058416],[0.00058416]
1711145864923769632,[0.99999262],[0.00054345],[0.00054345]
1711145865062556108,[0.99998899],[0.0006636],[0.0006636]
1711145865064972292,[0.99998391],[0.00080224],[0.00080224]
1711145865067153076,[0.99998552],[0.00076102],[0.00076102]
1711145865068535556,[0.99998359],[0.00081013],[0.00081013]
1711145865071402330,[0.99998608],[0.00074609],[0.00074609]
1711145865074031099,[0.99997945],[0.00090672],[0.00090672]
1711145865076935375,[0.99997686],[0.00096211],[0.00096211]
1711145865224350281,[0.99997448],[0.00101027],[0.00101027]
1711145865225417042,[0.99996287],[0.00121868],[0.00121868]
1711145865227506388,[0.99996802],[0.00113103],[0.00113103]
1711145865229348225,[0.99997258],[0.00104723],[0.00104723]
1711145865230965050,[0.99996103],[0.00124851],[0.00124851]
1711145865363436478,[0.95470434],[0.04256555],[0.04256555]
1711145865365782295,[0.99973796],[0.00323755],[0.00323755]
1711145865369833754,[0.99972123],[0.0033393],[0.0033393]
1711145865372447236,[0.99982106],[0.00267534],[0.00267534]
1711145865374894440,[0.99968952],[0.0035241],[0.0035241]
1711145865377290415,[0.9998544],[0.00241331],[0.00241331]
1711145865379250178,[0.99957416],[0.00412717],[0.00412717]
1711145865381042064,[0.99977934],[0.00297093],[0.00297093]
1711145865382540447,[0.99969876],[0.00347127],[0.00347127]
1711145865384050283,[0.99975908],[0.00310431],[0.00310431]
1711145865385478960,[0.99967007],[0.00363282],[0.00363282]
1711145865386273039,[0.99965407],[0.00371986],[0.00371986]
1711145865388321535,[0.99953954],[0.00429166],[0.00429166]
1711145865390517610,[0.99961859],[0.00390596],[0.00390596]
1711145865392290650,[0.99949391],[0.00449929],[0.00449929]
1711145865393858499,[0.9996794],[0.00358107],[0.00358107]
1711145865394876224,[0.99944694],[0.00470345],[0.00470345]
1711145865505550476,[0.9995416],[0.00428208],[0.00428208]
1711145865506933945,[0.99963405],[0.00382597],[0.00382597]
1711145865508732324,[0.99950185],[0.00446387],[0.00446387]
1711145865510806410,[0.99960266],[0.00398668],[0.00398668]
1711145865511585721,[0.99945863],[0.00465349],[0.00465349]
1711145865512965713,[0.99928077],[0.00536369],[0.00536369]
1711145865514344153,[0.99954593],[0.00426177],[0.00426177]
1711145865516001686,[0.9993796],[0.00498158],[0.00498158]
1711145865611979619,[0.99934927],[0.00510188],[0.00510188]
1711145865612873333,[0.9993172],[0.00522609],[0.00522609]
1711145865614439058,[0.99928195],[0.0053593],[0.0053593]
1711145865616209632,[0.99924578],[0.00549263],[0.00549263]
1711145865618967470,[0.99899279],[0.00634732],[0.00634732]
1711145865624945211,[0.9991611],[0.00579275],[0.00579275]
1711145865628285512,[0.99911888],[0.00593675],[0.00593675]
1711145865631350863,[0.99907489],[0.00608314],[0.00608314]
1711145865744627592,[0.99902979],[0.00622965],[0.00622965]
1711145865746502443,[0.99898349],[0.00637654],[0.00637654]
1711145865749960406,[0.99918827],[0.00569816],[0.00569816]
1711145865751658078,[0.99889374],[0.00665209],[0.00665209]
1711145865753432576,[0.9988448],[0.00679764],[0.00679764]
1711145865755650011,[0.99879492],[0.00694285],[0.00694285]
1711145865758512027,[0.99874438],[0.00708694],[0.00708694]
1711145865763097183,[0.99869318],[0.00722999],[0.00722999]
1711145865764450687,[0.99785739],[0.00925766],[0.00925766]
1711145865920532265,[0.99890757],[0.00661038],[0.00661038]
1711145865922802040,[0.99853335],[0.00765937],[0.00765937]
1711145865924917149,[0.99806852],[0.00878971],[0.00878971]
1711145865926885538,[0.99910992],[0.00596686],[0.00596686]
1711145865927839269,[0.99792276],[0.00911536],[0.00911536]
1711145865929841021,[0.997852],[0.00926931],[0.00926931]
1711145865931790965,[0.99866462],[0.00730856],[0.00730856]
1711145865933905673,[0.99862465],[0.00741715],[0.00741715]
1711145866066112883,[0.99814232],[0.00862016],[0.00862016]
1711145866067370014,[0.99807804],[0.00876803],[0.00876803]
1711145866070835461,[0.99749712],[0.01000576],[0.01000576]
1711145866074396919,[0.99796895],[0.00901344],[0.00901344]
1711145866078116482,[0.99790701],[0.00914983],[0.00914983]
1711145866080960403,[0.99835113],[0.00812125],[0.00812125]
1711145866082099628,[0.99717865],[0.01062327],[0.01062327]
1711145866084093897,[0.99826023],[0.0083421],[0.0083421]
1711145866215577328,[0.99705792],[0.01084819],[0.01084819]
