Time Step,Health Status,dm,dmdt
1711587152047657442,[1.],[0.],[0.]
1711587152050498189,[1.],[0.],[0.]
1711587152053321112,[1.],[0.],[0.]
1711587152120562636,[0.99999099],[0.00060041],[0.00060041]
1711587152122613204,[0.99998344],[0.00081393],[0.00081393]
1711587152124532871,[0.99997328],[0.00103383],[0.00103383]
1711587152126435275,[0.99996988],[0.00109766],[0.00109766]
1711587152198830477,[0.99996014],[0.00126274],[0.00126274]
1711587152200768520,[0.99995269],[0.0013757],[0.0013757]
1711587152202667408,[0.99993319],[0.00163472],[0.00163472]
1711587152271651166,[0.9999486],[0.00143394],[0.00143394]
1711587152273722634,[0.99992164],[0.00177038],[0.00177038]
1711587152275599660,[0.99992701],[0.00170868],[0.00170868]
1711587152342955138,[0.99990912],[0.00190663],[0.00190663]
1711587152344886738,[0.99989881],[0.00201184],[0.00201184]
1711587152346777360,[0.99986394],[0.00233286],[0.00233286]
1711587152406327427,[0.99988783],[0.00211818],[0.00211818]
1711587152408403543,[0.99987858],[0.00220385],[0.00220385]
1711587152410369458,[0.99985338],[0.00242172],[0.00242172]
1711587152467393479,[0.99984098],[0.00252206],[0.00252206]
1711587152469407787,[0.99982819],[0.00262153],[0.00262153]
1711587152471357301,[0.99979524],[0.00286189],[0.00286189]
1711587152473228095,[0.99980083],[0.00282253],[0.00282253]
1711587152532138560,[0.99980851],[0.00276761],[0.00276761]
1711587152534127780,[0.99977352],[0.00300985],[0.00300985]
1711587152536040293,[0.99973344],[0.00326531],[0.00326531]
1711587152597554001,[0.99976943],[0.0030369],[0.0030369]
1711587152599535787,[0.99970065],[0.00346033],[0.00346033]
1711587152601619358,[0.99968417],[0.00355432],[0.00355432]
1711587152603595814,[0.99969718],[0.00348035],[0.00348035]
1711587152664183723,[0.99974268],[0.00320822],[0.00320822]
1711587152666112668,[0.99966732],[0.00364791],[0.00364791]
1711587152668051953,[0.99965137],[0.00373432],[0.00373432]
1711587152734263526,[0.99963529],[0.00381945],[0.00381945]
1711587152736227237,[0.99961911],[0.0039033],[0.0039033]
1711587152738181942,[0.99960283],[0.00398582],[0.00398582]
1711587152799150546,[0.99958649],[0.004067],[0.004067]
1711587152801155166,[0.99952488],[0.00435945],[0.00435945]
1711587152803056969,[0.99955262],[0.00423026],[0.00423026]
1711587152804983801,[0.99958146],[0.00409165],[0.00409165]
1711587152863187456,[0.99951776],[0.00439197],[0.00439197]
1711587152865254245,[0.99949914],[0.004476],[0.004476]
1711587152867349956,[0.99947928],[0.00456384],[0.00456384]
1711587152925884585,[0.99945787],[0.00465673],[0.00465673]
1711587152927851433,[0.99931551],[0.00523255],[0.00523255]
1711587152929739270,[0.9995225],[0.00437036],[0.00437036]
1711587152987883159,[0.99925578],[0.00545606],[0.00545606]
1711587152989866759,[0.99948031],[0.00455933],[0.00455933]
1711587152991819229,[0.99926228],[0.00543219],[0.00543219]
1711587152993713979,[0.99937061],[0.00501751],[0.00501751]
1711587153050158713,[0.99927287],[0.00539308],[0.00539308]
1711587153052159816,[0.9992417],[0.00550746],[0.00550746]
1711587153054070907,[0.99920951],[0.00562315],[0.00562315]
1711587153138732687,[0.99917634],[0.00573988],[0.00573988]
1711587153140724613,[0.99914226],[0.00585743],[0.00585743]
1711587153142604384,[0.99901439],[0.00627887],[0.00627887]
1711587153198863884,[0.99916166],[0.00579082],[0.00579082]
1711587153201227905,[0.99883012],[0.0068407],[0.0068407]
1711587153203143795,[0.99909249],[0.00602497],[0.00602497]
1711587153260570741,[0.9990608],[0.00612929],[0.00612929]
1711587153262828145,[0.99892124],[0.00656889],[0.00656889]
1711587153264819108,[0.99888209],[0.00668702],[0.00668702]
1711587153321277156,[0.9988424],[0.00680469],[0.00680469]
1711587153323249464,[0.99867782],[0.00727235],[0.00727235]
1711587153325184090,[0.99875954],[0.00704405],[0.00704405]
1711587153382915221,[0.99884482],[0.00679759],[0.00679759]
1711587153384212299,[0.9986791],[0.00726885],[0.00726885]
1711587153386153658,[0.99863734],[0.00738285],[0.00738285]
1711587153445989721,[0.99844959],[0.00787506],[0.00787506]
1711587153447958552,[0.99869361],[0.00722882],[0.00722882]
1711587153450062829,[0.99835603],[0.00810919],[0.00810919]
1711587153512148694,[0.99861665],[0.00743869],[0.00743869]
1711587153514211325,[0.9982616],[0.00833883],[0.00833883]
1711587153516120642,[0.998213],[0.00845458],[0.00845458]
1711587153579404822,[0.9983345],[0.00816211],[0.00816211]
1711587153581364055,[0.99861781],[0.00743557],[0.00743557]
1711587153583261249,[0.99788316],[0.00920182],[0.00920182]
1711587153646125657,[0.99837768],[0.00805561],[0.00805561]
1711587153648098235,[0.99816793],[0.00856054],[0.00856054]
1711587153711951259,[0.99830254],[0.00824005],[0.00824005]
1711587153713975857,[0.99788524],[0.00919731],[0.00919731]
1711587153779754046,[0.99803018],[0.00887653],[0.00887653]
1711587153781105768,[0.99819787],[0.00849029],[0.00849029]
1711587153782485925,[0.99773481],[0.00951879],[0.00951879]
1711587153783809604,[0.99791788],[0.00912605],[0.00912605]
1711587153785158831,[0.99763634],[0.00972349],[0.00972349]
1711587153852536842,[0.99804859],[0.00883495],[0.00883495]
1711587153854725307,[0.99799491],[0.00895564],[0.00895564]
1711587153856659572,[0.99775126],[0.00948418],[0.00948418]
1711587153858581714,[0.99770033],[0.00959097],[0.00959097]
1711587153916834369,[0.99742358],[0.0101517],[0.0101517]
1711587153918983895,[0.99785252],[0.00926818],[0.00926818]
1711587153979349538,[0.99731675],[0.01036002],[0.01036002]
1711587153981283613,[0.99754932],[0.00990087],[0.00990087]
1711587153983270549,[0.9974786],[0.01004271],[0.01004271]
1711587154046168231,[0.99771549],[0.00955932],[0.00955932]
1711587154048124629,[0.99713008],[0.01071432],[0.01071432]
1711587154050095465,[0.99738145],[0.01023436],[0.01023436]
1711587154113164483,[0.99757389],[0.00985111],[0.00985111]
1711587154115741727,[0.99730158],[0.01038926],[0.01038926]
1711587154117662797,[0.99694899],[0.0110472],[0.0110472]
1711587154179326401,[0.99719657],[0.01058949],[0.01058949]
1711587154181753068,[0.99743343],[0.01013227],[0.01013227]
1711587154183748000,[0.99711484],[0.01074273],[0.01074273]
1711587154246918071,[0.99707398],[0.01081853],[0.01081853]
1711587154248830184,[0.9967279],[0.01144045],[0.01144045]
1711587154250814164,[0.9972865],[0.01041826],[0.01041826]
1711587154313526883,[0.99695301],[0.0110399],[0.0110399]
1711587154315448043,[0.99691258],[0.01111292],[0.01111292]
1711587154317349736,[0.99621317],[0.01230744],[0.01230744]
1711587154379299362,[0.99743222],[0.01013465],[0.01013465]
1711587154381275737,[0.99646073],[0.01189835],[0.01189835]
1711587154445311638,[0.99706793],[0.01082971],[0.01082971]
1711587154447358558,[0.99671125],[0.01146953],[0.01146953]
1711587154449266383,[0.99632838],[0.01211878],[0.01211878]
1711587154513442737,[0.99628409],[0.01219165],[0.01219165]
1711587154515379187,[0.99723533],[0.01051603],[0.01051603]
1711587154517277905,[0.99653549],[0.01177202],[0.01177202]
1711587154578851623,[0.99647394],[0.01187613],[0.01187613]
1711587154580853467,[0.9963975],[0.01200417],[0.01200417]
1711587154582769047,[0.99630971],[0.01214955],[0.01214955]
1711587154584616737,[0.99621047],[0.01231184],[0.01231184]
1711587154586645763,[0.99610332],[0.01248467],[0.01248467]
1711587154651049787,[0.99556729],[0.01331572],[0.01331572]
1711587154714295423,[0.99540892],[0.0135515],[0.0135515]
1711587154716280376,[0.99610208],[0.01248666],[0.01248666]
1711587154718334871,[0.99552492],[0.01337921],[0.01337921]
1711587154720244610,[0.9953539],[0.01363247],[0.01363247]
1711587154813202910,[0.99516471],[0.01390725],[0.01390725]
1711587154814521248,[0.99549843],[0.01341875],[0.01341875]
1711587154815775515,[0.99422875],[0.01519375],[0.01519375]
1711587154818917808,[0.99457594],[0.01472965],[0.01472965]
1711587154881456441,[0.99430925],[0.01508741],[0.01508741]
1711587154883348235,[0.994083],[0.01538441],[0.01538441]
1711587154885270988,[0.99443248],[0.01492316],[0.01492316]
1711587154948280362,[0.99289453],[0.01685879],[0.01685879]
1711587154950284701,[0.99327112],[0.01640595],[0.01640595]
1711587154952235568,[0.99297106],[0.01676776],[0.01676776]
1711587154954141730,[0.99266604],[0.0171277],[0.0171277]
1711587155014010795,[0.99235689],[0.01748498],[0.01748498]
1711587155015946843,[0.99277133],[0.01700432],[0.01700432]
1711587155077325769,[0.99084254],[0.01913892],[0.01913892]
1711587155079318776,[0.99126573],[0.01869147],[0.01869147]
1711587155081228284,[0.98998551],[0.02001448],[0.02001448]
1711587155083196684,[0.99143738],[0.01850689],[0.01850689]
1711587155146042617,[0.99109789],[0.0188702],[0.0188702]
1711587155147949009,[0.98754858],[0.02231719],[0.02231719]
1711587155215582413,[0.99131724],[0.01863626],[0.01863626]
1711587155217659952,[0.98885825],[0.0211109],[0.0211109]
1711587155248505611,[0.98719757],[0.02262956],[0.02262956]
1711587155250354303,[0.98666441],[0.02309597],[0.02309597]
1711587155314901311,[0.9886468],[0.02131028],[0.02131028]
1711587155317169428,[0.98694502],[0.02285168],[0.02285168]
1711587155319062104,[0.98644233],[0.02328748],[0.02328748]
1711587155375976621,[0.98593109],[0.02372248],[0.02372248]
1711587155377950522,[0.98540271],[0.02416385],[0.02416385]
1711587155379850441,[0.98631338],[0.02339796],[0.02339796]
1711587155381829993,[0.9827331],[0.02628072],[0.02628072]
1711587155439483051,[0.9852682],[0.02427493],[0.02427493]
1711587155441466069,[0.98146506],[0.02722861],[0.02722861]
1711587155499717719,[0.98247707],[0.02647484],[0.02647484]
1711587155501639220,[0.98195959],[0.02686292],[0.02686292]
1711587155503522559,[0.97932029],[0.02876088],[0.02876088]
1711587155562756611,[0.98255195],[0.02641822],[0.02641822]
1711587155564675628,[0.97999722],[0.02828624],[0.02828624]
1711587155566600114,[0.97934949],[0.02874057],[0.02874057]
1711587155625898860,[0.98080769],[0.02770726],[0.02770726]
1711587155627958022,[0.97335175],[0.03264858],[0.03264858]
1711587155630419866,[0.97957805],[0.02858107],[0.02858107]
1711587155632990687,[0.97658085],[0.03060663],[0.03060663]
1711587155695423042,[0.97833924],[0.02943519],[0.02943519]
1711587155697375642,[0.9751898],[0.03150251],[0.03150251]
1711587155756478120,[0.97192428],[0.03351162],[0.03351162]
1711587155758526471,[0.97094086],[0.03409348],[0.03409348]
1711587155760409999,[0.97563432],[0.03121902],[0.03121902]
1711587155822036328,[0.97484305],[0.03172189],[0.03172189]
1711587155824633339,[0.97142954],[0.0338056],[0.0338056]
1711587155826499133,[0.97054357],[0.03432575],[0.03432575]
1711587155828361551,[0.96659392],[0.03655466],[0.03655466]
1711587155888482502,[0.95113797],[0.04420951],[0.04420951]
1711587155890555588,[0.97941788],[0.02869294],[0.02869294]
1711587155892628555,[0.97030736],[0.0344631],[0.0344631]
1711587155955520052,[0.96957968],[0.03488285],[0.03488285]
1711587155957531690,[0.96545901],[0.03717041],[0.03717041]
1711587155959477912,[0.96091566],[0.03953952],[0.03953952]
1711587156019289456,[0.96367047],[0.03812062],[0.03812062]
1711587156019943865,[0.96283063],[0.03855872],[0.03855872]
1711587156021924023,[0.96596908],[0.03689494],[0.03689494]
1711587156023781685,[0.95766501],[0.04115094],[0.04115094]
1711587156084075241,[0.96049029],[0.0397541],[0.0397541]
1711587156085987458,[0.95932334],[0.04033691],[0.04033691]
