Time Step,Health Status,dm,dmdt
1711147921751240418,[1.],[0.],[0.]
1711147921752855661,[1.],[0.],[0.]
1711147921753542121,[1.],[0.],[0.]
1711147921755208444,[0.99999999],[2.04858341e-05],[2.04858341e-05]
1711147921756165402,[0.99999988],[7.01005104e-05],[7.01005104e-05]
1711147921757033327,[0.9999997],[0.00010942],[0.00010942]
1711147921760399592,[0.9999997],[0.0001089],[0.0001089]
1711147921762782478,[0.99999914],[0.00018598],[0.00018598]
1711147921763947152,[0.99999862],[0.00023506],[0.00023506]
1711147921765943679,[0.99999794],[0.00028724],[0.00028724]
1711147921767792147,[0.99999529],[0.00043383],[0.00043383]
1711147921769747865,[0.99999684],[0.00035577],[0.00035577]
1711147921819709851,[0.99999368],[0.0005026],[0.0005026]
1711147921820942407,[0.99999545],[0.00042648],[0.00042648]
1711147921823546411,[0.99999483],[0.00045474],[0.00045474]
1711147921827507796,[0.99999216],[0.00056016],[0.00056016]
1711147921830948589,[0.99999092],[0.00060263],[0.00060263]
1711147921833399553,[0.99998951],[0.0006479],[0.0006479]
1711147921834408653,[0.99998461],[0.00078453],[0.00078453]
1711147921837012827,[0.99998608],[0.00074629],[0.00074629]
1711147921838959697,[0.99998803],[0.0006919],[0.0006919]
1711147922016606905,[0.99997742],[0.00095031],[0.00095031]
1711147922019553327,[0.99997415],[0.00101693],[0.00101693]
1711147922021277298,[0.9999772],[0.00095506],[0.00095506]
1711147922023898695,[0.99998566],[0.0007574],[0.0007574]
1711147922026746905,[0.99992259],[0.00175968],[0.00175968]
1711147922029524346,[0.99999208],[0.00056299],[0.00056299]
1711147922032869767,[0.99996485],[0.00118583],[0.00118583]
1711147922163514397,[0.9999251],[0.00173094],[0.00173094]
1711147922164402661,[0.99998899],[0.00066362],[0.00066362]
1711147922166144681,[0.99994043],[0.00154367],[0.00154367]
1711147922167711730,[0.99996071],[0.00125369],[0.00125369]
1711147922169481294,[0.999928],[0.00169704],[0.00169704]
1711147922170479343,[0.99993759],[0.00158001],[0.00158001]
1711147922172278565,[0.99994848],[0.00143555],[0.00143555]
1711147922174959783,[0.99992672],[0.00171212],[0.00171212]
1711147922282284150,[0.99992038],[0.00178464],[0.00178464]
1711147922283117848,[0.99991432],[0.00185128],[0.00185128]
1711147922284861438,[0.99990677],[0.00193108],[0.00193108]
1711147922286831975,[0.99989943],[0.00200573],[0.00200573]
1711147922289155029,[0.99986269],[0.00234362],[0.00234362]
1711147922291993690,[0.99988296],[0.00216368],[0.00216368]
1711147922293037127,[0.99990417],[0.00195786],[0.00195786]
1711147922444378324,[0.99983065],[0.0026027],[0.0026027]
1711147922446351866,[0.99989064],[0.00209147],[0.00209147]
1711147922448108495,[0.99984757],[0.00246925],[0.00246925]
1711147922450234936,[0.99983838],[0.00254257],[0.00254257]
1711147922451173138,[0.99982719],[0.00262917],[0.00262917]
1711147922453135979,[0.99971145],[0.00339735],[0.00339735]
1711147922456034405,[0.99980258],[0.00281012],[0.00281012]
1711147922460851367,[0.99983996],[0.00253011],[0.00253011]
1711147922464182334,[0.99972139],[0.00333831],[0.00333831]
1711147922609724220,[0.99986868],[0.00229188],[0.00229188]
1711147922612769013,[0.99975675],[0.00311932],[0.00311932]
1711147922614955318,[0.99967274],[0.00361808],[0.00361808]
1711147922620532213,[0.99972696],[0.00330476],[0.00330476]
1711147922623862053,[0.99971278],[0.00338951],[0.00338951]
1711147922625263960,[0.99976967],[0.00303532],[0.00303532]
1711147922628410250,[0.99968467],[0.00355151],[0.00355151]
1711147922631249352,[0.99966901],[0.00363861],[0.00363861]
1711147922761172783,[0.99945422],[0.00467238],[0.00467238]
1711147922763236452,[0.99971857],[0.00335516],[0.00335516]
1711147922764180946,[0.99951356],[0.00441109],[0.00441109]
1711147922766007762,[0.99959616],[0.00401914],[0.00401914]
1711147922768132591,[0.99967719],[0.00359341],[0.00359341]
1711147922770272819,[0.99944256],[0.00472204],[0.00472204]
1711147922773727759,[0.99953784],[0.00429959],[0.00429959]
1711147922775216175,[0.99951633],[0.00439852],[0.00439852]
1711147922777748798,[0.99949382],[0.0044997],[0.0044997]
1711147922937360568,[0.99970394],[0.00344126],[0.00344126]
1711147922940851390,[0.99945115],[0.00468552],[0.00468552]
1711147922944544392,[0.99942401],[0.00479995],[0.00479995]
1711147922946519461,[0.99939524],[0.00491838],[0.00491838]
1711147922949414302,[0.99919129],[0.00568758],[0.00568758]
1711147922952210771,[0.99914496],[0.00584823],[0.00584823]
1711147922954425404,[0.99945381],[0.00467412],[0.00467412]
1711147922956678172,[0.9994293],[0.00477785],[0.00477785]
1711147923139060810,[0.66587393],[0.11560728],[0.11560728]
1711147923143892092,[0.99790255],[0.00915959],[0.00915959]
1711147923148911154,[0.99868899],[0.00724157],[0.00724157]
1711147923150851371,[0.99824421],[0.00838042],[0.00838042]
1711147923154100754,[0.99818676],[0.00851644],[0.00851644]
1711147923157440764,[0.99812267],[0.00866563],[0.00866563]
1711147923160095876,[0.99805369],[0.00882339],[0.00882339]
1711147923162744597,[0.9974608],[0.01007809],[0.01007809]
1711147923164246880,[0.99738758],[0.01022237],[0.01022237]
1711147923332051791,0,[0.20735265],[0.20735265]
1711147923334392210,[0.99738281],[0.0102317],[0.0102317]
1711147923339068462,[0.99650944],[0.01181619],[0.01181619]
1711147923341179811,[0.99646768],[0.01188667],[0.01188667]
1711147923344148566,[0.99543716],[0.01350976],[0.01350976]
1711147923347054679,[0.99717502],[0.01063011],[0.01063011]
1711147923349172422,[0.99523996],[0.0137986],[0.0137986]
1711147923351933342,[0.99517373],[0.01389427],[0.01389427]
1711147923355739142,[0.99611153],[0.01247151],[0.01247151]
1711147923361125332,[0.99695521],[0.01103593],[0.01103593]
1711147923364537543,[0.99596638],[0.01270215],[0.01270215]
1711147923367569451,[0.99687051],[0.01118836],[0.01118836]
1711147923368988170,[0.99474396],[0.01449971],[0.01449971]
1711147923372345184,[0.99676524],[0.01137498],[0.01137498]
1711147923544350636,[0.71013899],[0.10767748],[0.10767748]
1711147923548516583,[0.99516077],[0.01391291],[0.01391291]
1711147923551415512,[0.99509274],[0.01401036],[0.01401036]
1711147923553918909,[0.99502544],[0.01410612],[0.01410612]
1711147923555224187,[0.99361338],[0.01598327],[0.01598327]
1711147923558433932,[0.9948824],[0.01430748],[0.01430748]
1711147923561155014,[0.99603344],[0.01259612],[0.01259612]
1711147923713543456,0,[0.24450381],[0.24450381]
1711147923716462414,[0.99367802],[0.01590217],[0.01590217]
1711147923719618562,[0.99361369],[0.01598288],[0.01598288]
1711147923721098400,[0.99506277],[0.01405309],[0.01405309]
1711147923725371251,[0.99349126],[0.01613535],[0.01613535]
1711147923729216333,[0.99167167],[0.01825194],[0.01825194]
1711147923732180690,[0.99335322],[0.01630556],[0.01630556]
1711147923903867262,0,[0.23413345],[0.23413345]
1711147923905222227,[0.99039556],[0.01960045],[0.01960045]
1711147923908957779,[0.99414386],[0.01530509],[0.01530509]
1711147923913169380,[0.96505007],[0.0373898],[0.0373898]
1711147923915183810,[1.],[0.],[0.]
1711147923916845984,[0.99008276],[0.01991707],[0.01991707]
1711147923920015311,[0.99209742],[0.0177793],[0.0177793]
1711147924078611976,[0.68309225],[0.11258912],[0.11258912]
1711147924082981841,[0.99167365],[0.01824977],[0.01824977]
1711147924085732109,[0.99162285],[0.01830535],[0.01830535]
1711147924087295160,[0.99671039],[0.01147103],[0.01147103]
1711147924089757818,[0.99153075],[0.0184057],[0.0184057]
1711147924092290412,[0.98920049],[0.02078413],[0.02078413]
1711147924094107549,[0.99342056],[0.01622275],[0.01622275]
1711147924095989413,[0.9836446],[0.02557765],[0.02557765]
1711147924099426825,[0.99660233],[0.0116579],[0.0116579]
1711147924345434659,0,[0.42472527],[0.42472527]
1711147924586863072,0,[0.64777488],[0.64777488]
1711147924588589412,[0.98485417],[0.02461368],[0.02461368]
1711147924592082701,[0.99098278],[0.01899181],[0.01899181]
1711147924595060994,[0.98838782],[0.02155196],[0.02155196]
1711147924599334235,[0.95297892],[0.04336869],[0.04336869]
1711147924602069385,[0.98782583],[0.02206732],[0.02206732]
1711147924781417599,0,[0.43501303],[0.43501303]
1711147924786175047,[0.94326405],[0.04763862],[0.04763862]
1711147924787483090,[1.],[0.],[0.]
1711147924790078356,[0.99180255],[0.01810795],[0.01810795]
1711147924791381400,[0.9855703],[0.02402473],[0.02402473]
1711147924795263742,[0.98577323],[0.0238552],[0.0238552]
1711147924798232084,[0.98223536],[0.02665681],[0.02665681]
1711147924801051557,[0.98251641],[0.0264451],[0.0264451]
1711147924954787446,0,[0.33196657],[0.33196657]
1711147924959110866,[0.98061971],[0.02784262],[0.02784262]
1711147924962196940,[0.98804809],[0.02186496],[0.02186496]
1711147924963757336,[0.98409266],[0.02522486],[0.02522486]
1711147924966218831,[0.98763822],[0.02223671],[0.02223671]
1711147924968796092,[0.98399816],[0.02529967],[0.02529967]
1711147924971321121,[0.98000387],[0.02828153],[0.02828153]
1711147925114815769,[0.22645825],[0.17590244],[0.17590244]
1711147925116763655,[0.98810494],[0.0218129],[0.0218129]
1711147925119118834,[0.98784642],[0.02204866],[0.02204866]
1711147925122195870,[0.98385306],[0.02541412],[0.02541412]
1711147925126372234,[0.97933441],[0.02875106],[0.02875106]
1711147925128495096,[0.98747077],[0.02238681],[0.02238681]
1711147925302332877,0,[0.47073905],[0.47073905]
1711147925385183884,[0.98635641],[0.02336116],[0.02336116]
1711147925386385266,[0.97742723],[0.03004848],[0.03004848]
