Time Step,Health Status,dm,dmdt
1711585549167559962,[1.],[0.],[0.]
1711585549169782785,[1.],[0.],[0.]
1711585549171865059,[1.],[0.],[0.]
1711585549234562514,[0.99999099],[0.00060041],[0.00060041]
1711585549237263060,[0.99998344],[0.00081393],[0.00081393]
1711585549240224867,[0.99997328],[0.00103383],[0.00103383]
1711585549317900848,[0.99996988],[0.00109766],[0.00109766]
1711585549319934308,[0.99996014],[0.00126274],[0.00126274]
1711585549321952790,[0.99995269],[0.0013757],[0.0013757]
1711585549398760260,[0.99993319],[0.00163472],[0.00163472]
1711585549400848335,[0.9999486],[0.00143394],[0.00143394]
1711585549402694006,[0.99992164],[0.00177038],[0.00177038]
1711585549404549677,[0.99992701],[0.00170868],[0.00170868]
1711585549469097627,[0.99990912],[0.00190663],[0.00190663]
1711585549471044352,[0.99989881],[0.00201184],[0.00201184]
1711585549472895724,[0.99986394],[0.00233286],[0.00233286]
1711585549538338005,[0.99988783],[0.00211818],[0.00211818]
1711585549540390873,[0.99987858],[0.00220385],[0.00220385]
1711585549542367855,[0.99985338],[0.00242172],[0.00242172]
1711585549602264677,[0.99984098],[0.00252206],[0.00252206]
1711585549604294671,[0.99982819],[0.00262153],[0.00262153]
1711585549606373178,[0.99979524],[0.00286189],[0.00286189]
1711585549667917011,[0.99980083],[0.00282253],[0.00282253]
1711585549669998573,[0.99980851],[0.00276761],[0.00276761]
1711585549672295723,[0.99977352],[0.00300985],[0.00300985]
1711585549674225886,[0.99973344],[0.00326531],[0.00326531]
1711585549736536711,[0.99976943],[0.0030369],[0.0030369]
1711585549739067289,[0.99970065],[0.00346033],[0.00346033]
1711585549741021638,[0.99968417],[0.00355432],[0.00355432]
1711585549802485432,[0.99969718],[0.00348035],[0.00348035]
1711585549804506549,[0.99974268],[0.00320822],[0.00320822]
1711585549806520091,[0.99966732],[0.00364791],[0.00364791]
1711585549808414094,[0.99965137],[0.00373432],[0.00373432]
1711585549865192109,[0.99963529],[0.00381945],[0.00381945]
1711585549867179091,[0.99961911],[0.0039033],[0.0039033]
1711585549869115506,[0.99960283],[0.00398582],[0.00398582]
