Time Step,Health Status,dm,dmdt
1711153633685057967,[1.],[0.],[0.]
1711153633686504763,[1.],[0.],[0.]
1711153633688333799,[1.],[0.],[0.]
1711153633690669163,[0.99999325],[0.00051974],[0.00051974]
1711153633692583443,[0.99998747],[0.0007079],[0.0007079]
1711153633694416207,[0.9999928],[0.00053662],[0.00053662]
1711153633696051733,[0.9999893],[0.00065408],[0.00065408]
1711153633697613658,[0.99998777],[0.00069937],[0.00069937]
1711153633698747425,[0.99998946],[0.00064921],[0.00064921]
1711153633700342865,[0.99998004],[0.00089355],[0.00089355]
1711153633701928646,[0.99998647],[0.0007358],[0.0007358]
1711153633704608758,[0.99997999],[0.00089474],[0.00089474]
1711153633753788465,[0.9999779],[0.00094024],[0.00094024]
1711153633756161230,[0.99997493],[0.00100148],[0.00100148]
1711153633758771580,[0.99995583],[0.00132921],[0.00132921]
1711153633760955975,[0.99997552],[0.00098947],[0.00098947]
1711153633761599786,[0.99996491],[0.00118478],[0.00118478]
1711153633763206016,[0.99996119],[0.00124597],[0.00124597]
1711153633765659671,[0.99996756],[0.00113919],[0.00113919]
1711153633767763784,[0.99994055],[0.00154208],[0.00154208]
1711153633901425434,[0.99996109],[0.00124763],[0.00124763]
1711153633908113762,[0.99992839],[0.0016924],[0.0016924]
1711153633911958667,[0.99993817],[0.00157266],[0.00157266]
1711153633914729875,[0.99994895],[0.001429],[0.001429]
1711153633917549328,[0.99990763],[0.00192222],[0.00192222]
1711153633920226610,[0.99993977],[0.00155216],[0.00155216]
1711153633928824256,[0.99991508],[0.001843],[0.001843]
1711153633931831244,[0.99990828],[0.00191544],[0.00191544]
1711153634053703968,[0.99987373],[0.00224737],[0.00224737]
1711153634055917386,[0.99991842],[0.00180641],[0.00180641]
1711153634056844267,[0.99988574],[0.00213789],[0.00213789]
1711153634058839638,[0.99987729],[0.00221551],[0.00221551]
1711153634061073345,[0.99986892],[0.00228983],[0.00228983]
1711153634063059930,[0.99985994],[0.00236691],[0.00236691]
1711153634064384500,[0.99980954],[0.00276012],[0.00276012]
1711153634066033199,[0.9998394],[0.00253459],[0.00253459]
1711153634067053488,[0.99982949],[0.00261162],[0.00261162]
1711153634178089883,[0.99981885],[0.00269183],[0.00269183]
1711153634179890513,[0.99985377],[0.00241851],[0.00241851]
1711153634182996604,[0.9996132],[0.00393345],[0.00393345]
1711153634184722961,[0.99983434],[0.00257415],[0.00257415]
1711153634185677184,[0.9998246],[0.00264881],[0.00264881]
1711153634188251280,[0.99981703],[0.00270533],[0.00270533]
1711153634190520835,[0.99974877],[0.00317003],[0.00317003]
1711153634300714592,[0.99958302],[0.004084],[0.004084]
1711153634302010006,[0.99978337],[0.00294369],[0.00294369]
1711153634302606566,[0.99962538],[0.00387103],[0.00387103]
1711153634303845011,[0.99968763],[0.00353483],[0.00353483]
1711153634305176093,[0.99967219],[0.00362111],[0.00362111]
1711153634306845692,[0.99973702],[0.00324332],[0.00324332]
1711153634308928411,[0.99964209],[0.00378371],[0.00378371]
