Time Step,Health Status,dm,dmdt
1711148949651773996,[1.],[0.],[0.]
1711148949652856887,[1.],[0.],[0.]
1711148949654875028,[1.],[0.],[0.]
1711148949655439212,[0.99999997],[3.66282588e-05],[3.66282588e-05]
1711148949656659354,[0.99999984],[7.88707136e-05],[7.88707136e-05]
1711148949657686129,[0.99999982],[8.45084667e-05],[8.45084667e-05]
1711148949714720488,[0.99999923],[0.00017526],[0.00017526]
1711148949716434046,[0.99999922],[0.00017675],[0.00017675]
1711148949718169068,[0.99999794],[0.00028722],[0.00028722]
1711148949719564474,[0.99999759],[0.00031045],[0.00031045]
1711148949720848387,[0.99999754],[0.00031371],[0.00031371]
1711148949722247460,[0.99999576],[0.00041166],[0.00041166]
1711148949723046110,[0.99999337],[0.00051497],[0.00051497]
1711148949724389276,[0.99999535],[0.00043126],[0.00043126]
1711148949725720680,[0.99999289],[0.0005334],[0.0005334]
1711148949892119562,[0.99999174],[0.00057474],[0.00057474]
1711148949893852439,[0.99998773],[0.00070067],[0.00070067]
1711148949895760265,[0.99998879],[0.00066965],[0.00066965]
1711148949899188751,[0.99998369],[0.00080761],[0.00080761]
1711148949901570885,[0.99998865],[0.0006739],[0.0006739]
1711148949903541054,[0.9999789],[0.00091878],[0.00091878]
1711148949905798431,[0.99998099],[0.00087197],[0.00087197]
1711148949906823232,[0.99998354],[0.00081146],[0.00081146]
1711148950047645621,[0.99997629],[0.00097387],[0.00097387]
1711148950053218733,[0.9999735],[0.00102961],[0.00102961]
1711148950055613496,[0.99997034],[0.00108919],[0.00108919]
1711148950057206698,[0.99997514],[0.00099712],[0.00099712]
1711148950057911740,[0.99995422],[0.00135317],[0.00135317]
1711148950060108381,[0.99995984],[0.00126747],[0.00126747]
1711148950061837392,[0.99996646],[0.00115824],[0.00115824]
1711148950173007887,[0.99993842],[0.00156942],[0.00156942]
1711148950175160204,[0.99993231],[0.00164547],[0.00164547]
1711148950176531444,[0.99995451],[0.00134899],[0.00134899]
1711148950179191341,[0.99995122],[0.00139683],[0.00139683]
1711148950181920010,[0.99993078],[0.00166397],[0.00166397]
1711148950185767968,[0.99992469],[0.00173559],[0.00173559]
1711148950188291591,[0.99984254],[0.00250968],[0.00250968]
1711148950189377287,[0.99993036],[0.00166903],[0.00166903]
1711148950319842908,[0.9999257],[0.00172394],[0.00172394]
1711148950321374493,[0.99986761],[0.00230118],[0.00230118]
1711148950322711648,[0.99991352],[0.00185985],[0.00185985]
1711148950323987726,[0.99987971],[0.00219357],[0.00219357]
1711148950324601134,[0.99987103],[0.00227131],[0.00227131]
1711148950325860941,[0.99986189],[0.00235037],[0.00235037]
1711148950327071315,[0.99981326],[0.00273304],[0.00273304]
1711148950328290054,[0.99987885],[0.00220135],[0.00220135]
1711148950434028002,[0.99978716],[0.00291778],[0.00291778]
1711148950435187889,[0.99986325],[0.00233878],[0.00233878]
1711148950437568246,[0.99985612],[0.00239902],[0.00239902]
1711148950440815784,[0.99980102],[0.00282123],[0.00282123]
